Package,Login,Id,Contributions
https://github.com/Mojang/play,"['pepite', 'guillaumebort', 'erwan', 'mbknor', 'jfp', 'Notalifeform', 'opensource21', 'sgodbillon', 'revbingo', 'spinscale', 'lmcalpin', 'ikeike443', 'opensas', 'julienrf', 'ludofischer', 'FroMage', 'jesperronn', 'jooooooon', 'manuelbernhardt', 'tturner', 'tkral', 'alexanderstrebkov', 'dcarley', 'leon', 'marcelmay', 'nicmarti', 'nigoroll', 'pk11', 'kaj', 'hongrich']","[180989, 94658, 16061, 203254, 181613, 429676, 429360, 333882, 355607, 667544, 148864, 159452, 481687, 332812, 43557, 179265, 6267, 93237, 459669, 433367, 467732, 238914, 260438, 13211, 213806, 157075, 1528104, 126080, 358770, 11243]","[473, 402, 174, 128, 105, 17, 14, 9, 8, 7, 7, 7, 7, 6, 6, 6, 5, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
https://github.com/coin-or/pulp,"['stumitchell', 'pchtsp', 'chmduquesne', 'ryanjoneil', 'willu47', 'wookenny', 'rimaddo', 'djunglas', 'Utkarsh-Detha', 'Fangop', 'behrisch', 'oprypin', 'thiagojobson', 'fmars', 'amarvin', 'berkorbay', 'bjk17', 'bjodah', 'Bouncner', 'octachrome', 'dims', 'drdv', 'erikliland', 'Floby', 'ggsdc', 'harrybiddle', 'jakedaford', 'voglster', 'blechta', 'japborst']","[738393, 5459187, 234544, 6748953, 3727919, 229571, 32032476, 50817618, 51062854, 37362730, 454288, 371383, 11036045, 3794093, 10762127, 5690139, 4630543, 485936, 1745857, 1466943, 23304, 2876816, 8565318, 235570, 24654620, 5887227, 34524154, 620205, 7361643, 1426824]","[112, 106, 12, 7, 5, 5, 4, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
https://github.com/coin-or/python-mip,"['h-g-s', 'tuliotoffolo', 'tommyod', 'sebheger', 'spoorendonk', 'pmla', 'jurasofish', 'samuelsbrito', 'amarvin', 'Markus28', 'bonelli', 'IliaLarchenko', 'lpsinger', 'fortierq', 'svigerske', 'stradivari96', 'uurriola', 'tekgrizzly', 'aphi', 'dzhou343', 'brmanuel', 'Silventino', 'peterlietz', 'rodoufu', 'pabloazurduy']","[7953594, 590817, 10076072, 46022217, 13233275, 5646170, 33386122, 62482117, 10762127, 15806078, 8067225, 41329713, 728407, 49362475, 10905411, 19752586, 40268399, 45904483, 353887, 54200426, 22857883, 29819730, 742173, 6721075, 24685386]","[1005, 250, 16, 15, 14, 12, 11, 9, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]"
https://github.com/coin-or/rbfopt,"['gnannicini', 'sartorg', 'mishpat', 'KOLANICH', 'svigerske']","[12839570, 11919820, 25872851, 240344, 10905411]","[181, 12, 2, 1, 1]"
https://github.com/coin-or/GiMPy,"['tkralphs', 'aykutbulut', 'svigerske']","[4942502, 6423426, 10905411]","[194, 84, 1]"
https://github.com/topcoat/topcoat-grunt-telemetry,['piatra'],[810040],[10]
https://github.com/HIT-Alibaba/HIT_Compiler_Experiment,['skyline75489'],[4710575],[58]
https://github.com/HIT-Alibaba/Cryptography-Principle-Assignments,['skyline75489'],[4710575],[28]
https://github.com/tableau/TabPy,"['0golovatyi', 'johng42', 'sbabayan', 'jnegara', 'BBeran', 'WillAyd', 'lriggs', 'dleskosky', 'nmannheimer', 'ChairmanMa0', 'cgore1', 'jakeichikawasalesforce', 'hxi1', 'rxing-tableau', 'VTucherov', 'lelandweathers', 'sulaxd', 'harold-xi', 'benlower', 'phantomcosmonaut', 'belliveaujd', 'evaliula', 'braxtone', 'MrTrustworthy', 'tfoldi', 'illonage', 'josecherian', 'jtweeder', 'jesspencer', 'jayvdb']","[35347878, 8153554, 34922408, 15176485, 20712386, 609873, 22670710, 94579181, 24558045, 7527072, 14902083, 45948647, 80431639, 50600444, 35852410, 97176164, 5773822, 69485232, 476553, 11512646, 2546511, 20800291, 2973952, 7623325, 82426, 7159287, 30058842, 31365056, 39749248, 15092]","[194, 83, 56, 56, 55, 47, 24, 20, 15, 6, 5, 5, 5, 5, 4, 4, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
https://github.com/tableau/server-client-python,"['shinchris', 't8y8', 'jacalata', 'graysonarts', 'bcantoni', 'vogelsgesang', 'jorwoods', 'lbrendanl', 'LGraber', 'gaoang2148', 'benlower', 'guodah', 'jdomingu', 'jz-huang', 'opus-42', 'd45', 'FFMMM', 'Talvalin', 'martinbpeters', 'ovinis', 'scuml', 'mmuttreja-tableau', 'sotnich', 'preguraman', 'baixin137', 'bskim45', 'fpagliar', 'grbritz', 'hugoboos', 'jacobj10']","[10054801, 4370533, 2009720, 94549, 58372, 6820896, 13803242, 5441045, 7854459, 1755965, 476553, 3997275, 5760201, 7979368, 33355870, 10718717, 105337384, 1560659, 220237, 44311587, 1790447, 87720143, 7881458, 44912487, 18094568, 5674934, 2624764, 1458268, 5858224, 14262055]","[106, 70, 49, 30, 26, 15, 15, 13, 13, 10, 9, 8, 6, 5, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2]"
